행정동코드_최종,0순위_비분동확정,1순위_지번정밀,2순위_도로명근사,3순위_텍스트추정,총거래수,근사배정_건수,근사배정_비중,행정동명,자치구,교통비_커버리지
1141070000,0,369,1900,0,2269,1900,0.8374,남가좌제2동,서대문구,0.9142736647114412
1120067000,0,91,457,10,558,467,0.8369,성수2가제1동,성동구,0.8916116387490077
1159063000,6,176,919,0,1101,919,0.8347,사당제2동,동작구,0.9019802347959388
1126058000,0,135,648,27,810,675,0.8333,상봉제1동,중랑구,0.9549023400134716
1154570000,0,162,783,0,945,783,0.8286,시흥제4동,금천구,0.9314129197982935
1132051300,0,81,389,0,470,389,0.8277,창제3동,도봉구,0.9198760061851852
1111070000,0,82,385,7,474,392,0.827,숭인제1동,종로구,0.9533694917463548
1156071000,0,356,1691,0,2047,1691,0.8261,대림제2동,영등포구,0.958613991433334
1159065000,0,254,1202,0,1456,1202,0.8255,사당제4동,동작구,0.9669096539829444
1126063000,0,187,882,0,1069,882,0.8251,묵제2동,중랑구,0.9435709134877984
1126056500,0,437,1960,66,2463,2026,0.8226,면목본동,중랑구,0.9428312965787586
1123074000,0,542,2471,31,3044,2502,0.8219,이문제1동,동대문구,0.9018605744872522
1132068000,0,112,507,0,619,507,0.8191,쌍문제3동,도봉구,0.9630157846043512
1147063000,0,34,154,0,188,154,0.8191,신정2동,양천구,0.9407642392612632
1162057500,0,966,4292,0,5258,4292,0.8163,행운동,관악구,0.9618042843273712
1162064500,0,956,4209,0,5165,4209,0.8149,서원동,관악구,0.9607865498240992
1117066000,0,133,581,0,714,581,0.8137,이태원제2동,용산구,0.9050149404295148
1114054000,13,17,130,0,160,130,0.8125,회현동,중구,0.5806033169702414
1162054500,0,33,142,0,175,142,0.8114,청림동,관악구,0.9686740726370446
1126057000,0,248,1032,0,1280,1032,0.8062,면목제7동,중랑구,0.9632498058765236
1135059500,0,674,2700,43,3417,2743,0.8028,공릉1동,노원구,0.9054935266162208
1154562000,0,337,1318,0,1655,1318,0.7964,독산제2동,금천구,0.96644759903337
1156072000,0,441,1708,0,2149,1708,0.7948,대림제3동,영등포구,0.9172086694243392
1121586000,0,348,1346,0,1694,1346,0.7946,구의제2동,광진구,0.9359883661209074
1111068000,0,100,380,0,480,380,0.7917,창신제2동,종로구,0.9258567838589804
1111069000,0,17,64,0,81,64,0.7901,창신제3동,종로구,0.9756165248792672
1159064000,0,239,898,0,1137,898,0.7898,사당제3동,동작구,0.956978506824806
1171054000,0,133,487,8,628,495,0.7882,마천1동,송파구,0.9554114125377492
1126055000,0,129,473,0,602,473,0.7857,면목제5동,중랑구,0.9686074931490906
1135063000,0,235,848,0,1083,848,0.783,상계1동,노원구,0.8955637628758655
1121576000,0,321,1154,0,1475,1154,0.7824,중곡제3동,광진구,0.9496903953554704
1130553400,0,146,524,0,670,524,0.7821,삼양동,강북구,0.9384643997565244
1171055000,0,164,588,0,752,588,0.7819,마천2동,송파구,0.8935821893605328
1121575000,0,469,1676,0,2145,1676,0.7814,중곡제2동,광진구,0.9596641817263698
1174065000,0,535,1910,0,2445,1910,0.7812,성내제2동,강동구,0.9267609420083052
1121577000,0,321,1145,0,1466,1145,0.781,중곡제4동,광진구,0.9238861213605756
1162060500,0,380,1302,0,1682,1302,0.7741,은천동,관악구,0.9242916800869854
1123057000,0,43,147,0,190,147,0.7737,전농제2동,동대문구,0.9289781610417756
1154571000,0,170,567,0,737,567,0.7693,시흥제5동,금천구,0.9098189373524151
