dong_code,dong_name,gu,status,reason,road_acc,road_n,fare_coverage,tx_count
11200720,송정동,,ok,,,,0.9541996065915976,1221.0
11200790,용답동,,ok,,,,0.9270064837050772,2149.0
11215730,군자동,,ok,,0.7216,176.0,0.93670985519975,3997.0
11215740,중곡제1동,,ok,,,,0.9618856941137384,2295.0
11215750,중곡제2동,,ok,,,,0.9596641817263698,2145.0
11215760,중곡제3동,,ok,,,,0.9496903953554704,1475.0
11215770,중곡제4동,,ok,,,,0.9238861213605756,1466.0
11215780,능동,,ok,,0.0,17.0,0.9585693420468282,2325.0
11215810,광장동,,ok,,0.0,8.0,0.8970501767649047,387.0
11215820,자양제1동,,ok,,,,0.925259405775594,3154.0
11215830,자양제2동,,ok,,,,0.913423217784244,1324.0
11215840,자양제3동,,ok,,,,0.9333633330916372,894.0
11215847,자양제4동,,ok,,,,0.9139456980473608,3296.0
11215850,구의제1동,,ok,,,,0.9418940826329631,3853.0
11215860,구의제2동,,ok,,,,0.9359883661209074,1694.0
11215870,구의제3동,,ok,,,,0.8957860800322034,1362.0
11230515,신설동,,ok,,0.5,10.0,0.904514749181059,1883.0
11230533,용두동,,ok,,,,0.926687752682624,2477.0
11230545,제기동,,ok,,0.6505,103.0,0.8652788010344248,2456.0
11230560,전농제1동,,ok,,,,0.903804487767307,2298.0
11230570,전농제2동,,ok,,,,0.9289781610417756,190.0
11230600,답십리제1동,,ok,,,,0.9243661510904182,1723.0
11230610,답십리제2동,,ok,,,,0.9307903673960162,780.0
11230650,장안제1동,,ok,,,,0.8753900239643213,2201.0
11230660,장안제2동,,ok,,,,0.8853871992828412,1707.0
11230705,청량리동,,ok,,0.0,12.0,0.9035516649237132,1294.0
11230710,회기동,,ok,,0.5042,119.0,0.8211146676759302,1780.0
11230720,휘경제1동,,ok,,,,0.951693748696379,2484.0
11230730,휘경제2동,,ok,,,,0.9519158881022708,3785.0
11230740,이문제1동,,ok,,,,0.9018605744872522,3044.0
11230750,이문제2동,,ok,,,,0.9446840939634842,641.0
11260520,면목제2동,,ok,,,,0.9293609284533504,1217.0
11260540,면목제4동,,ok,,,,0.943592337508816,1001.0
11260550,면목제5동,,ok,,,,0.9686074931490906,602.0
11260565,면목본동,,ok,,,,0.9428312965787586,2463.0
11260570,면목제7동,,ok,,,,0.9632498058765236,1280.0
11260575,면목제3.8동,,ok,,,,0.9343991117830762,1804.0
11260580,상봉제1동,,ok,,,,0.9549023400134716,810.0
11260590,상봉제2동,,ok,,,,0.9400385519837278,2214.0
11260600,중화제1동,,ok,,,,0.9501809246485828,878.0
11260610,중화제2동,,ok,,,,0.9316085519255598,1645.0
11260620,묵제1동,,ok,,,,0.9256719563233454,1564.0
11260630,묵제2동,,ok,,,,0.9435709134877984,1069.0
11260655,망우본동,,ok,,,,0.8890199260534365,1814.0
11260660,망우제3동,,ok,,,,0.9446458222844634,963.0
11260680,신내1동,,ok,,,,0.8769770532450192,493.0
11260690,신내2동,,ok,,,,0.9477122973400174,228.0
11290555,삼선동,,ok,,0.0,1.0,0.8985555632889572,1693.0
11290575,동선동,,ok,,0.7113,97.0,0.929113608996719,2827.0
11290580,돈암제1동,,ok,,,,0.9668891480895312,58.0
