행정동코드,미분류,1순위_지번정밀,2순위_도로명근사,3순위_텍스트추정,총거래수,근사배정_건수,근사배정_비중,단독다가구_건수,단독다가구_비중,행정동명,교통비_커버리지
11710650,4490,0,0,0,4490,0,0.0,1285,0.2862,잠실본동,
11710690,9,0,0,0,9,0,0.0,0,0.0,잠실4동,
11740515,724,0,0,0,724,0,0.0,22,0.0304,강일동,
11740525,307,0,0,0,307,0,0.0,179,0.5831,상일제1동,
11740530,1463,0,0,0,1463,0,0.0,440,0.3008,명일제1동,
11740550,1118,0,0,0,1118,0,0.0,770,0.6887,고덕제1동,
11740570,3170,0,0,0,3170,0,0.0,1733,0.5467,암사제1동,
11740600,7913,0,0,0,7913,0,0.0,3429,0.4333,천호제1동,
11740640,5523,0,0,0,5523,0,0.0,3366,0.6095,성내제1동,
11740685,3286,0,0,0,3286,0,0.0,1472,0.448,길동,
11740690,987,0,0,0,987,0,0.0,571,0.5785,둔촌제1동,
