거주동 코드,거주동 이름,통근권_코드,통근권_행정동수,출근_유출량,동일통근권_내부출근량,동일통근권_내부출근비율,외부통근권_출근량,외부통근권_이동비율,주요_목적지통근권코드,주요_목적지통근권_출근량,주요_목적지통근권_비중,목적지_개수,목적지_HHI,목적지_엔트로피,목적지_정규화엔트로피,유효_목적지수,최대_목적지비중,주요_출근목적지,출근_유입량,출근_순유입량,출근_유입유출비,통근권_대표업무중심지_코드,통근권_대표업무중심지_이름,대표업무중심지_출근유입량,내부통근_출근량,내부통근_비중,루바인_모듈러리티,간선필터_분위수,간선필터_최소이동량
11650610,방배2동,1,118,773387.93,522011.44,0.6749671410051615,251376.49000000005,0.3250328589948385,1,522011.44,0.6749671410051615,388,0.019481811257813928,4.507671637743263,0.7561931890549424,90.7103658447273,0.05332864452642803,역삼1동 | 방배2동 | 서초3동 | 여의동 | 남현동,711622.3,-61765.630000000005,0.9201362891712055,11680640,역삼1동,16119655.08,40330.11,0.05214732275431296,0.30782946022911206,0.25,442.0
11650620,방배3동,1,118,710195.6,473433.87,0.6666246172181298,236761.72999999998,0.33337538278187023,1,473433.87,0.6666246172181298,366,0.02318575753628633,4.507209861799254,0.7635930621497701,90.6684876498236,0.08645316867634777,서초3동 | 방배3동 | 역삼1동 | 방배1동 | 여의동,649640.5,-60555.09999999998,0.9147346167731819,11680640,역삼1동,16119655.08,42765.11,0.06021596022278933,0.30782946022911206,0.25,442.0
11650621,방배4동,1,118,1027586.98,676631.91,0.6584667995696092,350955.06999999995,0.34153320043039076,1,676631.91,0.6584667995696092,389,0.02066731253557807,4.539789774985997,0.7612525152103444,93.67110603987352,0.0732571854890571,방배4동 | 서초3동 | 역삼1동 | 여의동 | 반포4동,1021264.79,-6322.189999999944,0.9938475378502752,11680640,역삼1동,16119655.08,75278.13,0.0732571854890571,0.30782946022911206,0.25,442.0
11650651,양재1동,1,118,1856813.3299999998,1446023.1099999999,0.7787660109053611,410790.22,0.22123398909463882,1,1446023.1099999999,0.7787660109053611,402,0.04823883551708171,4.063783769472763,0.677698030337911,58.194088037887774,0.16493340771094098,양재1동 | 양재2동 | 역삼1동 | 서초3동 | 서초2동,3696123.04,1839309.7100000002,1.990573301194472,11680640,역삼1동,16119655.08,306250.55,0.16493340771094098,0.30782946022911206,0.25,442.0
11650652,양재2동,1,118,1185960.24,978217.79,0.8248318594559292,207742.44999999995,0.17516814054407082,1,978217.79,0.8248318594559292,413,0.06254769498254634,3.860668000522388,0.6409399170391957,47.497068840827744,0.20113012389015672,양재2동 | 양재1동 | 역삼1동 | 내곡동 | 서초3동,3218776.14,2032815.9000000001,2.7140674969002334,11680640,역삼1동,16119655.08,238532.33,0.20113012389015672,0.30782946022911206,0.25,442.0
11650660,내곡동,1,118,724622.31,568820.24,0.7849885825348104,155802.07000000007,0.21501141746518962,1,568820.24,0.7849885825348105,370,0.052990381514579035,3.991625062716153,0.6750017813316931,54.142803362190456,0.18077311199540624,내곡동 | 양재2동 | 역삼1동 | 양재1동 | 서초2동,1285287.34,560665.03,1.7737341540036216,11680640,역삼1동,16119655.08,130992.23,0.18077311199540624,0.30782946022911206,0.25,442.0
11680510,신사동,1,118,673716.42,431231.64,0.640078862854493,242484.78000000003,0.35992113714550705,1,431231.64,0.640078862854493,404,0.04935433704984515,4.163997311946746,0.693835936461932,64.328149028908,0.17953466237322818,신사동 | 압구정동 | 논현1동 | 역삼1동 | 여의동,2676589.46,2002873.04,3.9728725329271324,11680640,역삼1동,16119655.08,120955.45,0.17953466237322818,0.30782946022911206,0.25,442.0
11680521,논현1동,1,118,1030664.58,797150.0700000001,0.7734330697577675,233514.5099999999,0.22656693024223254,1,797150.0700000001,0.7734330697577674,417,0.05388121423089926,3.9361148844790614,0.6524214539247021,51.219221651821506,0.16893591123505963,논현1동 | 역삼1동 | 논현2동 | 신사동 | 압구정동,4581561.94,3550897.3600000003,4.445250209335806,11680640,역삼1동,16119655.08,174116.26,0.16893591123505963,0.30782946022911206,0.25,442.0
11680531,논현2동,1,118,1027137.28,758773.03,0.7387260152800608,268364.25,0.2612739847199393,1,758773.03,0.7387260152800608,406,0.04729331934193602,4.050652290421273,0.6743946256216913,57.434909070353,0.15750205269542938,논현2동 | 역삼1동 | 청담동 | 압구정동 | 논현1동,5179665.8,4152528.5199999996,5.0428174508474655,11680640,역삼1동,16119655.08,161776.23,0.15750205269542938,0.30782946022911206,0.25,442.0
11680545,압구정동,1,118,1034948.07,618175.37,0.5973008578101895,416772.69999999995,0.4026991421898105,1,618175.37,0.5973008578101895,416,0.037497236931613866,4.421725061135632,0.7332044154703694,83.23975524231275,0.15422030788462654,압구정동 | 신사동 | 여의동 | 역삼1동 | 논현2동,3664678.7,2629730.6300000004,3.5409300294651502,11680640,역삼1동,16119655.08,159610.01,0.15422030788462654,0.30782946022911206,0.25,442.0
