거주동 코드,거주동 이름,대표_편도통근시간_분,대표_편도통근거리_km,대표_편도교통비_원,월_통근시간_분,월_통근시간_시간,월_통근교통비_원,월_통근시간_기회비용_원,주요_출근목적지_목록,주요목적지_누적출근비중,거주동_전체_출근량,선택목적지_출근량합,API_경로포함률,교통비_산출포함률,내부통근비중,대표_편도도보시간_분,도보시간_산출포함률,대표_편도환승횟수,환승횟수_산출포함률,월평균_출근일수_가정,시간가치_원_시간
11110515,청운효자동,26.2809058818,6.0483975635687,1539.6683740534343,1103.7980470356,18.39663411726,64666.071710244236,189853.2640901232,"사직동, 종로1.2.3.4가동, 청운효자동, 명동, 소공동",0.800782899670248,564412.04,451971.51,1.0,0.9043547678480885,0.09564523215191152,9.016528665327407,0.9043547678480885,0.8330192548886375,0.9043547678480885,21.0,10320.0
11110530,사직동,21.436402533,3.6258667192922,1533.8630641391935,900.328906386,15.0054817731,64422.24869384613,154856.571898392,"사직동, 종로1.2.3.4가동, 명동, 여의동, 소공동",0.800899665805416,636380.75,509677.13,1.0,0.7039235800123109,0.2960764199876891,12.013150115146734,0.7039235800123109,0.42778838901501764,0.7039235800123109,21.0,10320.0
11110540,삼청동,25.6785468398,5.1692882884504,1416.0337928043107,1078.4989672716,17.974982787859997,59473.419297781045,185501.82237071518,"종로1.2.3.4가동, 삼청동, 청운효자동, 사직동, 가회동",0.8011149447184811,106609.77,85406.68,1.0,0.8878399207181453,0.11216007928185477,9.448853083759808,0.8878399207181453,0.7510413758156173,0.8878399207181453,21.0,10320.0
11110550,부암동,32.5494143662,7.5753066908332,1544.631742457179,1367.0754033803998,22.784590056339997,64874.533183201514,235136.96938142876,"종로1.2.3.4가동, 부암동, 사직동, 명동, 평창동",0.8019803624079876,452322.26,362753.57,1.0,0.9234018565275595,0.07659814347244054,10.231002154359967,0.9234018565275595,0.888348210604644,0.9234018565275595,21.0,10320.0
11110560,평창동,33.3110378508,9.4207467585625,1585.4811456796501,1399.0635897335999,23.31772649556,66590.2081185453,240638.93743417918,"종로1.2.3.4가동, 평창동, 사직동, 부암동, 명동",0.8006078701519406,703357.45,563113.51,1.0,0.9124693705182104,0.08753062948178957,7.403933118281734,0.9124693705182104,0.9921910037134616,0.9124693705182104,21.0,10320.0
11110570,무악동,22.964864713,5.9507409694726,1536.7463516598064,964.524317946,16.0754052991,64543.34676971187,165898.182686712,"종로1.2.3.4가동, 사직동, 소공동, 명동, 여의동",0.8021537196817304,222998.38,178878.98,1.0,0.9838439373927557,0.016156062607244295,8.567448437987581,0.9838439373927557,0.4372907931732305,0.9838439373927557,21.0,10320.0
11110580,교남동,25.7474545762,5.7438618926092,1487.645447474872,1081.3930922004,18.023218203339997,62481.10879394463,185999.61185846876,"사직동, 종로1.2.3.4가동, 소공동, 여의동, 교남동",0.8005730537107714,605883.87,485054.3,1.0,0.9457623610387539,0.0542376389612462,11.14270708145528,0.9457623610387539,0.536739207156876,0.9457623610387539,21.0,10320.0
11110600,가회동,21.8770272128,4.509029698688,1434.0020626868475,918.8351429376,15.31391904896,60228.0866328476,158039.6445852672,"종로1.2.3.4가동, 가회동, 사직동, 명동, 여의동",0.8025949191364903,170938.66,137194.5,1.0,0.8054155232170386,0.1945844767829614,9.592856540683497,0.8054155232170386,0.6564693712383391,0.8054155232170386,21.0,10320.0
11110615,종로1.2.3.4가동,17.6961480274,2.0063660110490003,1510.267190214503,743.2382171508,12.387303619179999,63431.22198900912,127836.97334993759,"종로1.2.3.4가동, 명동, 사직동, 소공동, 종로5.6가동",0.8002147664214325,802872.25,642470.23,1.0,0.5135551105613096,0.4864448894386904,12.234870097972543,0.5135551105613096,0.2389234721079886,0.5135551105613096,21.0,10320.0
11110630,종로5.6가동,19.0069369474,3.0899647170536,1465.3814084158346,798.2913517908,13.30485586318,61546.01915346505,137306.1125080176,"종로5.6가동, 종로1.2.3.4가동, 이화동, 명동, 광희동",0.8021138651869433,328018.08,263107.85,1.0,0.7538750364156752,0.24612496358432487,8.753626106065212,0.7538750364156752,0.13233502823836543,0.7538750364156752,21.0,10320.0
