행정동 코드,행정동 이름,통근권_코드,통근권_행정동수
11500520,등촌1동,3,86
11500530,등촌2동,3,86
11500535,등촌3동,3,86
11500540,화곡1동,3,86
11500550,화곡2동,3,86
11500560,화곡3동,3,86
11500570,화곡4동,3,86
11500590,화곡본동,3,86
11500591,화곡6동,3,86
11500593,화곡8동,3,86
11500603,가양1동,3,86
11500604,가양2동,3,86
11500605,가양3동,3,86
11500611,발산1동,3,86
11500615,우장산동,3,86
11500620,공항동,3,86
11500630,방화1동,3,86
11500640,방화2동,3,86
11500641,방화3동,3,86
11530510,신도림동,3,86
11530520,구로1동,3,86
11530530,구로2동,3,86
11530540,구로3동,3,86
11530550,구로4동,3,86
11530560,구로5동,3,86
11530595,가리봉동,3,86
11530720,고척1동,3,86
11530730,고척2동,3,86
11530740,개봉1동,3,86
11530750,개봉2동,3,86
11530760,개봉3동,3,86
11530770,오류1동,3,86
11530780,오류2동,3,86
11530790,수궁동,3,86
11530800,항동,3,86
11545510,가산동,3,86
11545610,독산1동,3,86
11545620,독산2동,3,86
11545630,독산3동,3,86
11545640,독산4동,3,86
11545670,시흥1동,3,86
11545680,시흥2동,3,86
11545690,시흥3동,3,86
11545700,시흥4동,3,86
11545710,시흥5동,3,86
11560515,영등포본동,3,86
11560535,영등포동,3,86
11560540,여의동,3,86
11560550,당산1동,3,86
11560560,당산2동,3,86
11560585,도림동,3,86
11560605,문래동,3,86
11560610,양평1동,3,86
11560620,양평2동,3,86
11560630,신길1동,3,86
11560650,신길3동,3,86
11560660,신길4동,3,86
11560670,신길5동,3,86
11560680,신길6동,3,86
11560690,신길7동,3,86
11560700,대림1동,3,86
11560710,대림2동,3,86
11560720,대림3동,3,86
11590510,노량진1동,1,118
11590520,노량진2동,1,118
11590530,상도1동,1,118
11590540,상도2동,1,118
11590550,상도3동,1,118
11590560,상도4동,1,118
11590605,흑석동,1,118
11590620,사당1동,1,118
11590630,사당2동,1,118
11590640,사당3동,1,118
11590650,사당4동,1,118
11590651,사당5동,1,118
11590660,대방동,1,118
11590670,신대방1동,3,86
11590680,신대방2동,1,118
11620525,보라매동,1,118
11620545,청림동,1,118
11620565,성현동,1,118
11620575,행운동,1,118
11620585,낙성대동,1,118
11620595,청룡동,1,118
11620605,은천동,1,118
11620615,중앙동,1,118
11620625,인헌동,1,118
11620630,남현동,1,118
11620645,서원동,1,118
11620655,신원동,1,118
11620665,서림동,1,118
11620685,신사동,1,118
11620695,신림동,1,118
11620715,난향동,1,118
11620725,조원동,3,86
11620735,대학동,1,118
11620745,삼성동,1,118
11620765,미성동,3,86
11620775,난곡동,3,86
11650510,서초1동,1,118
11650520,서초2동,1,118
11650530,서초3동,1,118
11650531,서초4동,1,118
11650540,잠원동,1,118
11650550,반포본동,1,118
11650560,반포1동,1,118
11650570,반포2동,1,118
11650580,반포3동,1,118
11650581,반포4동,1,118
11650590,방배본동,1,118
11650600,방배1동,1,118
11650610,방배2동,1,118
11650620,방배3동,1,118
11650621,방배4동,1,118
11650651,양재1동,1,118
11650652,양재2동,1,118
11650660,내곡동,1,118
11680510,신사동,1,118
11680521,논현1동,1,118
11680531,논현2동,1,118
11680545,압구정동,1,118
11680565,청담동,1,118
11680580,삼성1동,1,118
11680590,삼성2동,1,118
11680600,대치1동,1,118
11680610,대치2동,1,118
11680630,대치4동,1,118
11680640,역삼1동,1,118
11680650,역삼2동,1,118
11680655,도곡1동,1,118
11680656,도곡2동,1,118
11680660,개포1동,1,118
11680670,개포2동,1,118
11680675,개포3동,1,118
11680690,개포4동,1,118
11680700,세곡동,1,118
11680720,일원본동,1,118
11680730,일원1동,1,118
11680750,수서동,1,118
11710510,풍납1동,1,118
11710520,풍납2동,1,118
11710531,거여1동,1,118
11710532,거여2동,1,118
11710540,마천1동,1,118
11710550,마천2동,1,118
11710561,방이1동,1,118
11710562,방이2동,1,118
11710566,오륜동,1,118
11710570,오금동,1,118
11710580,송파1동,1,118
11710590,송파2동,1,118
11710600,석촌동,1,118
11710610,삼전동,1,118
11710620,가락본동,1,118
11710631,가락1동,1,118
11710632,가락2동,1,118
11710641,문정1동,1,118
11710642,문정2동,1,118
11710646,장지동,1,118
11710647,위례동,1,118
11710650,잠실본동,1,118
11710670,잠실2동,1,118
11710680,잠실3동,1,118
11710690,잠실4동,1,118
11710710,잠실6동,1,118
11710720,잠실7동,1,118
11740515,강일동,1,118
11740525,상일1동,1,118
11740526,상일2동,1,118
11740530,명일1동,1,118
11740540,명일2동,1,118
11740550,고덕1동,1,118
11740560,고덕2동,1,118
11740570,암사1동,1,118
11740580,암사2동,1,118
11740590,암사3동,1,118
11740600,천호1동,1,118
11740610,천호2동,1,118
11740620,천호3동,1,118
11740640,성내1동,1,118
11740650,성내2동,1,118
11740660,성내3동,1,118
11740685,길동,1,118
11740690,둔촌1동,1,118
11740700,둔촌2동,1,118
