근무동코드,분석후보수,중앙값_10만원절감당_통근시간증가_분,평균_10만원절감당_통근시간증가_분,중앙값_10만원절감당_월교통비증가_원,중앙값_10만원절감당_시간비용증가_원,중앙값_실질순절감액_원,월세착시비율
1111051500,13,4.8680683126368605,5.529512235796258,0.0,35166.92549048869,86266.40678366603,0.0
1111053000,133,15.600341149516492,16.42687329211492,2459.5519058728987,112696.86446410716,-26031.39711081938,0.5939849624060151
1111054000,5,4.760189900279045,5.167394143628009,0.0,34387.611839615834,106133.45253418191,0.0
1111055000,1,15.338434681687362,15.338434681687362,-1235.5996901242765,110804.85214050952,-14517.550789346162,1.0
1111056000,2,16.45768067836422,16.45768067836422,0.0,118890.28522050314,-28205.727712250417,1.0
1111057000,1,10.20266265212876,10.20266265212876,-538.3265519286776,73704.03499897818,27747.83265273983,0.0
1111058000,7,6.019296265365147,8.734058093942082,0.0,43483.39622099781,69480.3594186015,0.14285714285714285
1111060000,29,14.390742403585037,15.58070418757278,1907.3759741156255,103958.72312349833,-10670.744803639769,0.5172413793103449
1111061500,139,12.27676714848478,12.576620827398017,2454.0275126190118,88687.36588065403,12371.75200330434,0.4244604316546763
1111063000,68,13.875836439825548,15.251558583150734,1514.1218275544015,100239.04244129977,-2443.8187477505708,0.5147058823529411
1111064000,46,16.904493507922965,17.13444704208118,0.0,122118.0611012355,-32225.32074773067,0.6956521739130435
1111065000,9,9.981597574580446,10.079025656649183,0.0,72107.06087876915,31953.965715661543,0.2222222222222222
1111067000,14,11.533109549448863,10.89000618082512,1362.5728663849886,83315.18338521858,20150.11347170091,0.35714285714285715
1111068000,1,4.21814897716305,4.21814897716305,-129.03211927946927,30471.908211025882,112127.82523749146,0.0
1111069000,1,5.943100518358547,5.943100518358547,-10257.954319358587,42932.95814462214,82696.3081908832,0.0
1111070000,1,3.354639834562662,3.354639834562662,-9132.075105198357,24233.91816488067,136661.48084045594,0.0
1111071000,17,12.915528257936824,12.972084775418018,0.0,93301.77613533563,4539.113660369039,0.47058823529411764
1114052000,145,16.024187591718047,16.524594556191335,1203.063689875945,115758.73116257119,-31912.847141795035,0.6620689655172414
1114054000,144,13.579953122671107,14.65768195736812,3214.3324198023124,98101.58135817607,-7734.525455961411,0.5069444444444444
1114055000,166,12.465937218424749,12.74018296042041,3002.967997419788,90053.93046590037,9809.97186670301,0.463855421686747
1114057000,96,10.950725215882649,11.692357460794549,1378.759812921341,79108.03895953626,35444.923601398245,0.3229166666666667
1114058000,33,11.735613952271821,13.765503346616036,1561.4807927337963,84778.07519121165,23186.719460251858,0.3939393939393939
1114059000,96,12.416456518632202,12.407880705733021,2049.0488093707963,89696.48189059904,10544.214583647059,0.4270833333333333
1114060500,113,16.173139249501542,16.324527651124523,2858.353477360822,116834.75793839911,-35695.06002957659,0.672566371681416
1114061500,33,15.804118889651422,16.534216985303207,1160.0339225550997,114168.9548588419,-31289.898236613488,0.6666666666666666
1114062500,16,9.631921753543665,10.569850566363751,2428.17115121824,69581.00274759941,38772.741087391,0.3125
1114063500,3,6.509551829334439,9.374519195754694,49210.76761020069,47025.00241511198,-6033.715251618065,0.6666666666666666
1114064500,2,7.706650170519371,7.706650170519371,1016.2203155246006,55672.84083183193,50328.397003939266,0.0
1114066500,7,15.538171131911719,14.945319741674934,2208.868820554323,112247.7482569303,-18596.484006133163,0.5714285714285714
1114067000,8,12.366862455373564,11.18783536335621,11156.917133762418,89338.21437761866,5487.262017172514,0.5
1114068000,7,7.172413037741928,9.647113608040618,1429.854162030116,51813.51178464769,99849.28473810526,0.2857142857142857
1117051000,3,-0.0797870390061803,-1.804483247550907,0.0,-576.3815697806308,146897.99239405454,0.0
1117052000,5,3.068519366856885,5.095544738341625,0.0,22166.983906174144,96304.52403978741,0.2
1117053000,78,7.747909349631281,7.821984053148876,1991.076457489969,55970.89714173636,65909.89729713125,0.19230769230769232
1117055500,15,16.291129037742547,15.272795743550466,0.0,117687.11616865218,-36659.99598400935,0.6666666666666666
1117056000,19,21.35326489394785,20.316292269405213,2901.009590825863,154255.98559387922,-81745.79775069031,0.7368421052631579
1117057000,7,2.0885080154632205,2.9235834924902844,0.0,15087.381903706286,150431.16168582378,0.14285714285714285
1117058000,2,-10.58214563007215,-10.58214563007215,-6281.280224363915,-76445.42003164122,218381.15902186945,0.0
1117059000,3,3.3602518288276686,0.9669902157359301,-1357.0247770265578,24274.459211451067,119285.50637254915,0.0
1117062500,97,13.334232397062397,13.52740184417955,3184.2547752917017,96326.49483637874,2109.680527307675,0.4948453608247423
1117063000,7,-0.8921635907165818,-0.90881438752198,-1437.4371370234692,-6444.989779336571,198038.94529567764,0.0
1117064000,2,3.2317094686874888,3.2317094686874888,1227.6133033711665,23345.869201798418,246467.4637914642,0.0
1117065000,6,3.752763887431424,4.173235396263622,1017.2093078557468,27109.966322804627,92417.12166790654,0.0
1117066000,4,5.806760438955735,5.2540005504280165,0.0,41948.03741101622,89809.03713753667,0.0
1117068500,89,9.792819353555121,9.641373059246387,3121.2527468520566,70743.32701008217,43923.75387141458,0.25842696629213485
1117069000,3,-7.618639707706663,-8.802490049983064,0.0,-55037.05324847292,221154.37619747396,0.0
1117070000,2,-14.747131935907767,-14.747131935907767,-110.77604591531271,-106533.2811049977,212732.51307134266,0.0
1120052000,2,3.4946889734960944,3.4946889734960944,1014.9795886071294,25245.633144535786,91618.22630799565,0.0
1120053500,29,13.760885534191456,13.69791016980129,0.0,99408.63709899907,-5569.438780517667,0.5517241379310345
1120054000,13,12.286330013396237,12.880347006029798,-1321.6242737374473,88756.4480167744,20402.53944174759,0.46153846153846156
1120055000,8,8.504253743791555,9.025867030949897,518.6082639604198,61434.729045150176,64244.44021069363,0.25
1120056000,27,10.665563804367961,11.997414404519715,0.0,77048.03292275414,24747.648247177596,0.37037037037037035
1120057000,1,-1.005536586870456,-1.005536586870456,10558.134162139779,-7263.9963035521705,115408.06777689671,0.0
1120058000,1,9.47718233125404,9.47718233125404,1911.9979899649773,68463.16516097919,35354.06337576352,0.0
1120059000,1,1.0365066261583817,1.0365066261583817,0.0,7487.723867368154,116030.09178838035,0.0
1120061500,1,-1.8434837425958337,-1.8434837425958337,10558.134162139779,-13317.32655651231,122632.06777689671,0.0
1120062000,1,-4.783876736115605,-4.783876736115605,0.0,-34558.72554169913,168765.29178838036,0.0
1120064500,3,-4.456947125559868,-0.6944233146147898,0.0,-32196.986035044487,147516.75622252558,0.0
1120065000,37,14.437462031885646,14.868744418964285,2707.024130978559,104296.22571834191,-10865.67682590746,0.5405405405405406
1120066000,63,24.64427193856031,25.24827616897142,3563.204593870966,178030.22048415962,-117556.887731542,0.9365079365079365
1120067000,34,14.447563204377335,13.13898354020276,1964.035757622018,104369.1965884219,-10327.188082551118,0.5588235294117647
1120069000,111,24.188070327495005,26.02578724638173,4253.095877655621,174734.62004582392,-123453.04322459333,0.9459459459459459
1120079000,15,10.341115556839227,11.324310666981573,0.0,74704.2187826066,30576.707462503546,0.26666666666666666
1121571000,11,13.11954503086091,11.267940256404476,0.0,94775.59330293925,-1594.9104865291156,0.5454545454545454
