행정기관코드,시도,자치구,행정동,관측연도수,관측시작연도,관측종료연도,전체세대수,청년1인세대수,청년1인세대비중,저표본_여부
1135062400,서울특별시,노원구,중계4동,3,2023,2025,24366.0,1219,5.0,일반
1135061900,서울특별시,노원구,중계본동,3,2023,2025,23782.0,1033,4.34,일반
1135061100,서울특별시,노원구,하계1동,3,2023,2025,36371.0,6221,17.1,일반
1135061200,서울특별시,노원구,하계2동,3,2023,2025,23758.0,1133,4.77,일반
1132052100,서울특별시,도봉구,도봉제1동,3,2023,2025,30305.0,2212,7.3,일반
1132052200,서울특별시,도봉구,도봉제2동,3,2023,2025,35173.0,2718,7.73,일반
1132069000,서울특별시,도봉구,방학제1동,3,2023,2025,38702.0,4080,10.54,일반
1132070000,서울특별시,도봉구,방학제2동,3,2023,2025,26946.0,1790,6.64,일반
1132071000,서울특별시,도봉구,방학제3동,3,2023,2025,29547.0,864,2.92,주의
1132066000,서울특별시,도봉구,쌍문제1동,3,2023,2025,28361.0,3208,11.31,일반
1132067000,서울특별시,도봉구,쌍문제2동,3,2023,2025,25017.0,2180,8.71,일반
1132068000,서울특별시,도봉구,쌍문제3동,3,2023,2025,24365.0,4377,17.96,일반
1132068100,서울특별시,도봉구,쌍문제4동,3,2023,2025,21147.0,1197,5.66,일반
1132051100,서울특별시,도봉구,창제1동,3,2023,2025,32127.0,3882,12.08,일반
1132051200,서울특별시,도봉구,창제2동,3,2023,2025,37497.0,4147,11.06,일반
1132051300,서울특별시,도봉구,창제3동,3,2023,2025,18951.0,1547,8.16,일반
1132051400,서울특별시,도봉구,창제4동,3,2023,2025,33334.0,4172,12.52,일반
1132051500,서울특별시,도봉구,창제5동,3,2023,2025,30520.0,3492,11.44,일반
1123060000,서울특별시,동대문구,답십리제1동,3,2023,2025,38363.0,7872,20.52,일반
1123061000,서울특별시,동대문구,답십리제2동,3,2023,2025,37226.0,4216,11.33,일반
1123074000,서울특별시,동대문구,이문제1동,3,2023,2025,33323.0,13789,41.38,일반
1123075000,서울특별시,동대문구,이문제2동,3,2023,2025,25215.0,3287,13.04,일반
1123065000,서울특별시,동대문구,장안제1동,3,2023,2025,54637.0,10647,19.49,일반
1123066000,서울특별시,동대문구,장안제2동,3,2023,2025,43397.0,5626,12.96,일반
1123056000,서울특별시,동대문구,전농제1동,3,2023,2025,48381.0,9373,19.37,일반
1123057000,서울특별시,동대문구,전농제2동,3,2023,2025,22165.0,1396,6.3,일반
1123054500,서울특별시,동대문구,제기동,3,2023,2025,38590.0,10472,27.14,일반
1123070500,서울특별시,동대문구,청량리동,3,2023,2025,29536.0,3928,13.3,일반
1123071000,서울특별시,동대문구,회기동,3,2023,2025,19519.0,9996,51.21,일반
1123072000,서울특별시,동대문구,휘경제1동,3,2023,2025,23857.0,9542,40.0,일반
1123073000,서울특별시,동대문구,휘경제2동,3,2023,2025,37778.0,13326,35.27,일반
1159051000,서울특별시,동작구,노량진제1동,3,2023,2025,52160.0,17548,33.64,일반
1159052000,서울특별시,동작구,노량진제2동,3,2023,2025,17473.0,6830,39.09,일반
1159066000,서울특별시,동작구,대방동,3,2023,2025,48941.0,12642,25.83,일반
1159062000,서울특별시,동작구,사당제1동,3,2023,2025,41310.0,17135,41.48,일반
1159063000,서울특별시,동작구,사당제2동,3,2023,2025,37197.0,4902,13.18,일반
1159064000,서울특별시,동작구,사당제3동,3,2023,2025,30702.0,4929,16.05,일반
1159065000,서울특별시,동작구,사당제4동,3,2023,2025,21717.0,5881,27.08,일반
1159065100,서울특별시,동작구,사당제5동,3,2023,2025,19842.0,3985,20.08,일반
1159053000,서울특별시,동작구,상도제1동,3,2023,2025,67785.0,23894,35.25,일반
1159054000,서울특별시,동작구,상도제2동,3,2023,2025,36909.0,7858,21.29,일반
1159055000,서울특별시,동작구,상도제3동,3,2023,2025,36272.0,9400,25.92,일반
1159056000,서울특별시,동작구,상도제4동,3,2023,2025,43319.0,9466,21.85,일반
1159067000,서울특별시,동작구,신대방제1동,3,2023,2025,31055.0,5572,17.94,일반
1159068000,서울특별시,동작구,신대방제2동,3,2023,2025,32037.0,9231,28.81,일반
1159060500,서울특별시,동작구,흑석동,3,2023,2025,38556.0,6632,17.2,일반
1144056500,서울특별시,마포구,공덕동,3,2023,2025,54984.0,13224,24.05,일반
1144060000,서울특별시,마포구,대흥동,3,2023,2025,25408.0,10274,40.44,일반
