분위수,간선가중치_기준,보존_간선수,전체_간선수,간선수_보존율,이동량_보존율,연결노드수,전체노드수,노드_보존율,연결요소수
0.0,1.4,88771,88771,1.0,1.0,428,428,1.0,1
0.1,77.96,79894,88771,0.9000011264940126,0.9994080671987744,428,428,1.0,1
0.25,442.0,66579,88771,0.7500084487050951,0.9921160704364775,428,428,1.0,1
0.5,1479.5,44386,88771,0.5000056324700635,0.9462713442487574,428,428,1.0,1
