OD_KEY,거주동 코드,거주동 이름,근무동 코드,근무동 이름,목적지_순위,출근_이동량,거주동_전체_출근량,목적지_출근비중,누적_출근비중,선택목적지_출근량합,최종_가중치,평균_이동시간_분,평균_이동거리_m,내부통근여부,분석용_편도시간_분,분석용_편도거리_km,분석용_편도요금_원,요금산출방식,총도보시간_분,총도보거리_m,도보시간비중,환승횟수,버스_이용구간수,지하철_이용구간수,도보_구간수,기차_이용구간수,교통수단_순서,이용노선,추천경로수,전체추천경로수,최종경로유형,경로값_산출방식,경로정보존재여부,요금정보존재여부,home_code8,work_code8
11305625_11230536,11305625,수유2동,11230536,용신동,43,5828.33,988172.67,0.00589809,0.59970741,792592.12,0.0073535,45.85,7675.65,False,36.5,9.05,1500.0,API_선택경로요금,6.0,374.0,0.1643835616438356,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,지선:1126 → 간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11305625,11230536
11305635_11230536,11305635,수유3동,11230536,용신동,62,4989.24,1063147.93,0.00469289,0.68761006,851154.79,0.00586173,44.47,7100.97,False,28.5,7.36,1500.0,API_선택경로요금,6.3,488.0,0.2210526315789473,0.0,1.0,0.0,2.0,0.0,WALK → BUS → WALK,간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11305635,11230536
11305645_11230536,11305645,우이동,11230536,용신동,25,7656.57,894637.07,0.0085583,0.47280816,715795.29,0.01069659,44.28,8572.79,False,35.0,9.29,1500.0,API_선택경로요금,4.9,329.0,0.14,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,지선:1165 → 간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11305645,11230536
11305660_11230536,11305660,인수동,11230536,용신동,41,7856.32,1298157.22,0.0060519,0.60657183,1041281.08,0.00754486,41.14,6983.57,False,38.8,10.07,1500.0,API_선택경로요금,4.8,319.0,0.1237113402061855,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,지선:1165 → 간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11305660,11230536
11320511_11230536,11320511,창1동,11230536,용신동,61,4907.95,1156885.0,0.00424238,0.64425276,926133.86,0.0052994,51.46,8014.8,False,40.5,10.68,1600.0,API_선택경로요금,4.5,296.0,0.1111111111111111,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,지선:1138 → 간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11320511,11230536
11320512_11230536,11320512,창2동,11230536,용신동,49,7380.46,1309955.13,0.00563413,0.61677867,1050659.38,0.0070246,49.61,7500.93,False,34.8,8.61,1500.0,API_선택경로요금,6.1,412.0,0.1752873563218391,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,지선:1138 → 간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11320512,11230536
11320513_11230536,11320513,창3동,11230536,용신동,56,2762.56,535138.21,0.00516233,0.65534012,428805.26,0.00644246,49.63,6942.35,False,39.1,8.97,1500.0,API_선택경로요금,10.8,756.0,0.2762148337595908,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,간선:102 → 간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11320513,11230536
11320514_11230536,11320514,창4동,11230536,용신동,52,6657.71,1391827.59,0.00478343,0.6277828,1115008.45,0.005971,45.1,8736.34,False,44.0,11.96,1600.0,API_선택경로요금,4.0,253.0,0.0909090909090909,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,지선:1138 → 간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11320514,11230536
11320515_11230536,11320515,창5동,11230536,용신동,64,4458.48,1095399.71,0.00407019,0.69689486,878511.19,0.00507504,54.8,8753.62,False,44.0,10.39,1500.0,API_선택경로요금,9.3,638.0,0.2113636363636364,0.0,1.0,0.0,2.0,0.0,WALK → BUS → WALK,간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11320515,11230536
11320521_11230536,11320521,도봉1동,11230536,용신동,42,3875.14,753384.07,0.00514364,0.60191922,602916.63,0.00642732,51.0,11553.9,False,39.3,13.69,1650.0,API_선택경로요금,14.3,1002.0,0.3638676844783715,0.0,0.0,1.0,2.0,0.0,WALK → SUBWAY → WALK,수도권1호선,10.0,,대중교통,TMAP_최종경로,True,True,11320521,11230536
11320522_11230536,11320522,도봉2동,11230536,용신동,71,3883.63,1143627.36,0.00339589,0.72651927,915956.51,0.00423997,64.75,11803.13,False,47.1,11.57,1500.0,API_선택경로요금,8.2,539.0,0.1740976645435244,0.0,1.0,0.0,2.0,0.0,WALK → BUS → WALK,간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11320522,11230536
11320660_11230536,11320660,쌍문1동,11230536,용신동,64,3894.32,924487.39,0.00421241,0.69935842,741245.31,0.00525375,60.36,8431.04,False,36.6,8.87,1500.0,API_선택경로요금,6.7,476.0,0.1830601092896175,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,마을:도봉02 → 간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11320660,11230536
11320670_11230536,11320670,쌍문2동,11230536,용신동,88,2573.23,884458.68,0.00290938,0.78768433,708920.68,0.00362979,46.07,8961.45,False,41.2,10.16,1500.0,API_선택경로요금,6.5,437.0,0.1577669902912621,0.0,1.0,0.0,2.0,0.0,WALK → BUS → WALK,간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11320670,11230536
11320680_11230536,11320680,쌍문3동,11230536,용신동,61,3537.01,756794.02,0.00467368,0.6773144,605735.17,0.0058392,53.5,8110.53,False,42.9,10.13,1500.0,API_선택경로요금,6.0,375.0,0.1398601398601398,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,지선:1128 → 간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11320680,11230536
11320681_11230536,11320681,쌍문4동,11230536,용신동,82,2442.62,802574.68,0.00304348,0.78395284,643103.05,0.00379818,54.82,8752.86,False,43.2,10.86,1600.0,API_선택경로요금,5.6,427.0,0.1296296296296296,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,간선:101 → 간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11320681,11230536
11320690_11230536,11320690,방학1동,11230536,용신동,72,3754.19,1061067.75,0.00353812,0.73167984,849034.72,0.00442172,45.79,9968.97,False,45.3,11.0,1500.0,API_선택경로요금,7.7,597.0,0.1699779249448123,0.0,1.0,0.0,2.0,0.0,WALK → BUS → WALK,간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11320690,11230536
11320700_11230536,11320700,방학2동,11230536,용신동,52,2904.15,670281.32,0.00433273,0.66789101,537791.35,0.00540014,52.08,10149.66,False,45.1,12.34,1600.0,API_선택경로요금,2.4,161.0,0.0532150776053215,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,지선:1167 → 간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11320700,11230536
11320710_11230536,11320710,방학3동,11230536,용신동,87,2857.98,1078658.72,0.00264957,0.78346226,864790.45,0.00330482,51.55,9635.57,False,45.5,11.89,1600.0,API_선택경로요금,3.9,275.0,0.0857142857142857,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,지선:1119 → 간선:130,10.0,,대중교통,TMAP_최종경로,True,True,11320710,11230536
11350560_11230536,11350560,월계1동,11230536,용신동,24,9219.67,986813.47,0.00934287,0.42606489,791013.57,0.01165551,40.61,5658.92,False,41.2,8.15,1500.0,API_선택경로요금,9.2,607.0,0.2233009708737863,0.0,1.0,0.0,2.0,0.0,WALK → BUS → WALK,간선:261,10.0,,대중교통,TMAP_최종경로,True,True,11350560,11230536
11350570_11230536,11350570,월계2동,11230536,용신동,68,4661.83,1088178.24,0.00428407,0.66562469,872743.67,0.00534158,45.53,6357.56,False,31.7,9.48,1550.0,API_선택경로요금,10.2,681.0,0.3217665615141956,1.0,1.0,1.0,3.0,0.0,WALK → BUS → WALK → SUBWAY → WALK,지선:1130 → 수도권1호선,10.0,,대중교통,TMAP_최종경로,True,True,11350570,11230536
11350580_11230536,11350580,월계3동,11230536,용신동,41,8077.27,1430253.94,0.00564744,0.53530371,1145587.82,0.00705076,38.59,6120.25,False,25.9,7.08,1550.0,API_선택경로요금,10.2,677.0,0.3938223938223938,1.0,1.0,1.0,3.0,0.0,WALK → BUS → WALK → SUBWAY → WALK,지선:1132 → 수도권1호선,10.0,,대중교통,TMAP_최종경로,True,True,11350580,11230536
11350595_11230536,11350595,공릉1동,11230536,용신동,83,5551.48,1679499.16,0.00330544,0.71677356,1346304.39,0.0041235,45.8,6556.71,False,34.5,8.16,1500.0,API_선택경로요금,10.7,736.0,0.3101449275362318,0.0,1.0,0.0,2.0,0.0,WALK → BUS → WALK,간선:105,10.0,,대중교통,TMAP_최종경로,True,True,11350595,11230536
11350600_11230536,11350600,공릉2동,11230536,용신동,103,4386.58,2006741.26,0.00218592,0.79971477,1609040.61,0.00272621,46.12,7137.5,False,27.1,7.8,1550.0,API_선택경로요금,10.6,682.0,0.3911439114391143,1.0,1.0,1.0,3.0,0.0,WALK → SUBWAY → WALK → BUS → WALK,수도권6호선 → 간선:110A고려대,10.0,,대중교통,TMAP_최종경로,True,True,11350600,11230536
11350611_11230536,11350611,하계1동,11230536,용신동,93,3327.5,1182358.66,0.00281429,0.77520061,947162.41,0.00351313,50.32,7749.46,False,36.7,10.51,3200.0,API_선택경로요금,8.1,554.0,0.220708446866485,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,간선:100 → 직행좌석:3200,10.0,,대중교통,TMAP_최종경로,True,True,11350611,11230536
11350612_11230536,11350612,하계2동,11230536,용신동,108,2088.59,819927.6,0.00254729,0.79334549,656569.72,0.00318106,47.47,7109.99,False,39.4,9.52,1500.0,API_선택경로요금,12.5,928.0,0.3172588832487309,0.0,1.0,0.0,2.0,0.0,WALK → BUS → WALK,간선:105,10.0,,대중교통,TMAP_최종경로,True,True,11350612,11230536
11350624_11230536,11350624,중계4동,11230536,용신동,87,2081.49,778518.62,0.00267365,0.79057205,623617.72,0.00333777,57.35,10020.56,False,44.6,13.31,1650.0,API_선택경로요금,16.1,1067.0,0.3609865470852018,1.0,1.0,1.0,3.0,0.0,WALK → SUBWAY → WALK → BUS → WALK,수도권4호선 → 간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11350624,11230536
11350625_11230536,11350625,중계2.3동,11230536,용신동,98,3921.38,1510424.27,0.00259621,0.77284963,1211679.93,0.00323632,56.87,8056.72,False,45.9,10.24,3200.0,API_선택경로요금,15.2,1035.0,0.3311546840958606,0.0,1.0,0.0,2.0,0.0,WALK → BUS → WALK,직행좌석:3200,10.0,,대중교통,TMAP_최종경로,True,True,11350625,11230536
11350640_11230536,11350640,상계2동,11230536,용신동,47,5164.74,920514.63,0.00561071,0.62262268,738564.28,0.00699295,56.12,9516.03,False,48.1,12.97,1600.0,API_선택경로요금,6.0,382.0,0.1247401247401247,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,간선:102 → 간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11350640,11230536
11350665_11230536,11350665,상계3.4동,11230536,용신동,87,3349.19,1157365.04,0.00289381,0.77746598,927639.9,0.00361044,64.13,11039.36,False,43.0,14.55,1650.0,API_선택경로요금,11.5,860.0,0.2674418604651162,1.0,1.0,1.0,3.0,0.0,WALK → SUBWAY → WALK → BUS → WALK,수도권4호선 → 간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11350665,11230536
11350695_11230536,11350695,상계6.7동,11230536,용신동,79,5099.51,1592022.61,0.00320316,0.72728365,1275901.98,0.00399679,55.78,8458.88,False,39.0,12.18,1650.0,API_선택경로요금,12.5,861.0,0.3205128205128205,1.0,1.0,1.0,3.0,0.0,WALK → SUBWAY → WALK → BUS → WALK,수도권4호선 → 간선:141,10.0,,대중교통,TMAP_최종경로,True,True,11350695,11230536
11350700_11230536,11350700,상계8동,11230536,용신동,89,3369.15,1193895.28,0.00282198,0.73714165,957101.71,0.00352016,63.36,10371.62,False,60.3,12.82,1650.0,API_선택경로요금,37.3,2844.0,0.6185737976782753,0.0,0.0,1.0,2.0,0.0,WALK → SUBWAY → WALK,수도권1호선,10.0,,대중교통,TMAP_최종경로,True,True,11350700,11230536
11350710_11230536,11350710,상계9동,11230536,용신동,74,3793.95,1050799.17,0.00361054,0.72041795,842847.28,0.00450135,53.46,10266.73,False,49.8,13.43,3200.0,API_선택경로요금,9.3,614.0,0.1867469879518072,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,지선:1137 → 직행좌석:3200,10.0,,대중교통,TMAP_최종경로,True,True,11350710,11230536
11410640_11230536,11410640,홍제3동,11230536,용신동,67,2760.59,909839.5,0.00303415,0.78782882,730259.08,0.00378029,54.57,7416.63,False,57.8,12.65,1600.0,API_선택경로요금,12.1,788.0,0.2093425605536332,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,마을:서대문12 → 간선:720,10.0,,대중교통,TMAP_최종경로,True,True,11410640,11230536
11590520_11230536,11590520,노량진2동,11230536,용신동,65,1707.66,498387.42,0.00342637,0.75238649,399153.85,0.0042782,48.25,10800.52,False,49.8,14.82,1600.0,API_선택경로요금,10.8,721.0,0.2168674698795181,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,간선:N15 → 간선:370,10.0,,대중교통,TMAP_최종경로,True,True,11590520,11230536
